pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,796.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,800.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,809.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,814.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,807.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,798.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,796.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,796.95
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,800.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,809.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,812.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,808.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,797.47
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,796.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,800.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,801.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,810.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,813.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,809.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,796.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,798.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,793.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,802.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,811.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,819.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,808.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,800.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,791.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,792.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,804.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,813.45
